2025-07-25 22:17:10 [cluster-ClusterId{value='6883b50d58ecbd204e28fb62', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=21921600}
2025-07-25 22:17:11 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@30bf881e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1041ebba, org.springframework.security.web.context.SecurityContextHolderFilter@27682fa9, org.springframework.security.web.header.HeaderWriterFilter@63ad5fe7, org.springframework.web.filter.CorsFilter@507f7cd1, org.springframework.security.web.authentication.logout.LogoutFilter@e4bb10b, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@38af386e, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@33827b88, com.bxb.sunduk_pay.config.AuthenticationFilter@4e2cdc51, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@50013a15, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@349996a6, org.springframework.security.web.session.ConcurrentSessionFilter@26be0d23, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@126f2eb8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d3815f7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78aa1753, org.springframework.security.web.session.SessionManagementFilter@495bc9e7, org.springframework.security.web.access.ExceptionTranslationFilter@6fe243a, org.springframework.security.web.access.intercept.AuthorizationFilter@40d370fa]
2025-07-25 22:17:12 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-25 22:17:12 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api/sunduk-service'
2025-07-25 22:17:12 [main] INFO  com.bxb.sunduk_pay.SundukPayApplication - Started SundukPayApplication in 5.328 seconds (process running for 6.84)
2025-07-25 22:17:57 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api/sunduk-service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-25 22:17:57 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-25 22:17:57 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-07-25 22:18:02 [http-nio-8080-exec-4] INFO  com.bxb.sunduk_pay.controller.SundukController - Session Id : 7479CC0C445727B1472C7BA11E64C43A By: Mohammad Bilal
2025-07-25 22:18:03 [http-nio-8080-exec-4] INFO  com.bxb.sunduk_pay.serviceImpl.UserServiceImpl - Login successful
2025-07-25 22:22:30 [main] INFO  com.bxb.sunduk_pay.SundukPayApplication - Starting SundukPayApplication using Java 22.0.1 with PID 10984 (C:\Users\Admin\Projects\sunduk-pay\target\classes started by Lenovo in C:\Users\Admin\Projects\sunduk-pay)
2025-07-25 22:22:30 [main] INFO  com.bxb.sunduk_pay.SundukPayApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-25 22:22:31 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-07-25 22:22:31 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 57 ms. Found 3 MongoDB repository interfaces.
2025-07-25 22:22:31 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=91b203f6-3783-329e-8418-9c8ba82ae15f
