2025-12-21 21:15:15 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 9680ac2c-b48d-4767-87f6-4b341241a5e4
2025-12-21 21:18:55 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: ec7f3bbd-fb10-4e32-b36c-50e81cb44411
2025-12-21 21:21:35 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 3b0ebefb-226d-43dd-8618-f0a8b1d13631
2025-12-21 21:21:35 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: null
2025-12-21 21:21:35 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: null
2025-12-21 21:22:44 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 6fd0aa4b-57f5-46ed-bb47-d04c7086f19f
2025-12-21 21:35:37 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 810cba2f-cc5f-4851-b01a-3a9608a7adaf
2025-12-21 21:35:37 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 810cba2f-cc5f-4851-b01a-3a9608a7adaf
2025-12-21 21:35:37 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 810cba2f-cc5f-4851-b01a-3a9608a7adaf
2025-12-21 21:37:44 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - User validation successful for UUID: 2660edf1-b983-4ec7-9fac-1ffff43ee4cd
2025-12-21 21:37:44 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - SubWallet validation successful for ID: c4363067-60d2-46c7-a879-b46694b6a8b6
2025-12-21 21:37:44 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Investment retrieval successful for SubWallet ID: c4363067-60d2-46c7-a879-b46694b6a8b6
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - User validation successful for UUID: e083ee31-fe78-4b34-bf69-07f9bee2fbf9
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - SubWallet validation successful for ID: 8739d0fd-b01f-4c62-8eac-1a6f77b49782
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Investment retrieval successful for SubWallet ID: 8739d0fd-b01f-4c62-8eac-1a6f77b49782
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Risk level validation successful. Changing from LOW to HIGH
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Portfolio model retrieval successful for risk level: HIGH
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Using snapshot date for NAV alignment: 2025-12-21
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - New model NAV on 2025-12-21 = 100.0
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - User validation successful for UUID: 56327320-f879-44aa-9ca9-e63df29370b0
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - SubWallet validation successful for ID: 696fe49f-e0ee-4d90-9292-323f290c201e
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Investment retrieval successful for SubWallet ID: 696fe49f-e0ee-4d90-9292-323f290c201e
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - User validation successful for UUID: 4c1f99a9-d4a2-4f36-b7a3-7a4ee0af30fd
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - SubWallet validation successful for ID: 656de4d1-5de1-445a-92e6-d12a92730585
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Investment retrieval successful for SubWallet ID: 656de4d1-5de1-445a-92e6-d12a92730585
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Risk level validation successful. Changing from LOW to HIGH
2025-12-21 21:37:45 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.UpdateRiskLevelService - Portfolio model retrieval successful for risk level: HIGH
2025-12-21 21:39:20 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 25c604c9-d7ff-4c08-83b8-9cd157be548e
2025-12-21 21:39:20 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 25c604c9-d7ff-4c08-83b8-9cd157be548e
2025-12-21 21:39:20 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 25c604c9-d7ff-4c08-83b8-9cd157be548e
2025-12-21 21:43:37 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 515aa4b8-7d95-4002-aac2-bac02542f5dc
2025-12-21 21:43:37 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 515aa4b8-7d95-4002-aac2-bac02542f5dc
2025-12-21 21:43:37 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 515aa4b8-7d95-4002-aac2-bac02542f5dc
2025-12-21 21:52:34 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 00651257-80e0-42d6-8c47-73a445d4d097
2025-12-21 21:52:34 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 00651257-80e0-42d6-8c47-73a445d4d097
